source_file,source_sheet,source_range,source_cell,metric_row,metric_label_source_row,period_header_source_sheet,period_header_source_row,section_name,supplier,metric_name,metric_detail,price_period,time_period,time_period_year,time_period_month,value,formula
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AK4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-07-01 00:00:00,July 2025,2025,7,5000,5000
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AL4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-08-01 00:00:00,August 2025,2025,8,5000,5000
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AM4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-09-01 00:00:00,September 2025,2025,9,5050,5050
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AN4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-10-01 00:00:00,October 2025,2025,10,5150,5150
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AO4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-11-01 00:00:00,November 2025,2025,11,5100,5100
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AP4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2025-12-01 00:00:00,December 2025,2025,12,5050,5050
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AQ4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2026-01-01 00:00:00,January 2026,2026,1,4900,4900
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AR4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2026-02-01 00:00:00,February 2026,2026,2,4600,4600
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AS4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2026-03-01 00:00:00,March 2026,2026,3,4050,4050
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,AT4,4,4,Índices,2,Atualização,,Maxiquim MME (M-1),,2026-04-01 00:00:00,April 2026,2026,4,4100,4100
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,G5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-01-01 00:00:00,January 2023,2023,1,5.2424,5.2424
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,H5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-02-01 00:00:00,February 2023,2023,2,5.2007,5.2007
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,I5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-03-01 00:00:00,March 2023,2023,3,5.1717,5.1717
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,J5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-04-01 00:00:00,April 2023,2023,4,5.2115,5.2115
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,K5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-05-01 00:00:00,May 2023,2023,5,5.0197,5.0197
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,L5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-06-01 00:00:00,June 2023,2023,6,4.9828,4.9828
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,M5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-07-01 00:00:00,July 2023,2023,7,4.8516,4.8516
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,N5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-08-01 00:00:00,August 2023,2023,8,4.8008,4.8008
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,O5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-09-01 00:00:00,September 2023,2023,9,4.9035,4.9035
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,P5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-10-01 00:00:00,October 2023,2023,10,4.93699,4.93699
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,Q5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-11-01 00:00:00,November 2023,2023,11,5.0648,5.0648
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,R5,5,5,Índices,2,Atualização,,Fx (M-1),,2023-12-01 00:00:00,December 2023,2023,12,4.8983,4.8983
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,S5,5,5,Índices,2,Atualização,,Fx (M-1),,2024-01-01 00:00:00,January 2024,2024,1,4.8972,4.8972
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,T5,5,5,Índices,2,Atualização,,Fx (M-1),,2024-02-01 00:00:00,February 2024,2024,2,4.9144,4.9144
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,U5,5,5,Índices,2,Atualização,,Fx (M-1),,2024-03-01 00:00:00,March 2024,2024,3,4.9644,4.9644
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,V5,5,5,Índices,2,Atualização,,Fx (M-1),,2024-04-01 00:00:00,April 2024,2024,4,4.9801,4.9801
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Engepack.xlsx,Índices,B2:AT5,W5,5,5,Índices,2,Atualização,,Fx (M-1),,2024-05-01 00:00:00,May 2024,2024,5,5.1291,5.1291
