Data Type,Source File ,Supplier Name,Destination Country,Time_Period ,Time Period Year,Time Period Month,Location,Raw Cost Breakdown,Resin Index Type,Forecast Resin Index Type,Mapping Columns,Column Required for Calculation,Value ,TLC Formula
Actual,04. Engepack.xlsx,Engepack,Brazil,November 2023,2023,11,,Fx (M-1),IHS (M-1),,Fx,No,5.0648,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,November 2023,2023,11,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,3450,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,November 2023,2023,11,,IHS (M-1),IHS (M-1),,Resin Index vPET,Yes,875.63,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,November 2023,2023,11,,Total Landing Cost,IHS (M-1),,Total Landing Cost,Yes,6983.492825316543,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,November 2023,2023,11,,Total Landing Cost $,IHS (M-1),,Total Landing Cost,Yes,1378.828941975308,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,December 2023,2023,12,,Freight,IHS (M-1),,Freight,Yes,109.7730864197531,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,December 2023,2023,12,,Fx (M-1),IHS (M-1),,Fx,No,4.8983,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,December 2023,2023,12,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,3500,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,December 2023,2023,12,,IHS (M-1),IHS (M-1),,Resin Index vPET,Yes,865,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,December 2023,2023,12,,Total Landing Cost,IHS (M-1),,Total Landing Cost,Yes,6867.710377054321,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
