source_file,source_sheet,source_range,source_row,source_cell,date_source_cell,date_range,forecast_date,time_period,time_period_year,time_period_month,forecast_series,resin_index_type,value_source_column,value_source_header_cell,value,raw_value_text,formula
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,58,D58,B58,06-Mar-2026,2026-03-06,March 2026,2026,3,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,920.0,920,920
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,59,D59,B59,13-Mar-2026,2026-03-13,March 2026,2026,3,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,1135.0,1135,1135
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,60,D60,B60,20-Mar-2026,2026-03-20,March 2026,2026,3,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,1215.0,1215,1215
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,61,D61,B61,27-Mar-2026,2026-03-27,March 2026,2026,3,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,1175.0,1175,1175
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,62,C62,B62,01-Apr-2026,2026-04-01,April 2026,2026,4,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,1147.0,1147.00,1147.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,63,D63,B63,03-Apr-2026,2026-04-03,April 2026,2026,4,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,1190.0,1190,1190
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,64,D64,B64,10-Apr-2026,2026-04-10,April 2026,2026,4,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,1182.5,1182.5,1182.5
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,65,D65,B65,17-Apr-2026,2026-04-17,April 2026,2026,4,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,1190.0,1190,1190
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,66,C66,B66,01-May-2026,2026-05-01,May 2026,2026,5,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,1173.0,1173.00,1173.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,67,C67,B67,01-Jun-2026,2026-06-01,June 2026,2026,6,PET Bottle Grade FOB China Spot Forecast Apr-2026 Latest,PET Bottle Grade FOB China Spot,C,C13,1054.0,1054.00,1054.00
